OBJECTID,TIS_ID,TIS_TYPE,TIS_ROUTE_,TIS_ROUTE1,TIS_DESC,MIDPNT_LAT,MIDPNT_LON,DT_MODIFIE,DT_CREATED,HMGNS_FLOW,HMGNS_FL_1,HMGNS_FL_2,ROAD_NBR,DECLARED_R,LRS_ROAD_D,LRS_ROAD_1
15496,1169,HFLOW_2,221,1,EAGLEHAWK ROAD S Bd btwn LONG GULLY-WHITE HILL ROAD AND CREETH STREET || Original ID_HOMOGENEOUS_FLOW:1878,-36.7437363,144.2583384,1404482718000,1404482718000,1169,S,SOUTH BOUND,2630,LODDON VALLEY HIGHWAY ,1,REVERSE
15497,979,HFLOW_2,845,1,ST KILDA RD S BD BTWN INKERMAN ST AND CARLISLE ST || Original ID_HOMOGENEOUS_FLOW:1888,-37.8663617,144.9864376,1404482726000,1404482726000,979,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15498,981,HFLOW_2,845,1,NEPEAN HWY S BD BTWN NORTH RD AND BAY ST || Original ID_HOMOGENEOUS_FLOW:1896,-37.9031667,145.0074449,1404482734000,1404482734000,981,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15499,1525,HFLOW_2,845,1,NEPEAN HWY S BD BTWN STATION ST AND WICKHAM RD || Original ID_HOMOGENEOUS_FLOW:1905,-37.9406258,145.0400465,1404482742000,1404482742000,1525,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15500,796,HFLOW_2,845,1,NEPEAN HWY E BD BTWN WARRIGAL RD AND LOWER DANDENONG RD || Original ID_HOMOGENEOUS_FLOW:1913,-37.9823539,145.0727367,1404482750000,1404482750000,796,E,EAST BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15501,987,HFLOW_2,845,1,NEPEAN HWY S BD BTWN OVERTON RD AND FLETCHER RD || Original ID_HOMOGENEOUS_FLOW:1921,-38.134756,145.1242681,1404482759000,1404482759000,987,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15502,1530,HFLOW_2,845,1,NEPEAN HWY S BD BTWN BENTONS RD AND CRAIGIE RD || Original ID_HOMOGENEOUS_FLOW:1930,-38.250289,145.0367072,1404482767000,1404482767000,1530,S,SOUTH BOUND,2660,NEPEAN HIGHWAY ,0,FORWARD
15503,1182,HFLOW_2,222,0,HAMMILL STREET NEBd btwn AITKEN AVENUE AND BORUNG HIGHWAY || Original ID_HOMOGENEOUS_FLOW:1944,-36.3645147,142.9876231,1404482774000,1404482774000,1182,NE,NORTH EAST BOUND,2690,BORUNG HIGHWAY ,1,REVERSE
15504,995,HFLOW_2,846,1,CHAMBERLAIN STREET S Bd btwn PATCHEWOLLOCK-SEA LAKE ROAD AND GOUDIE STREET || Original ID_HOMOGENEOUS_FLOW:1993,-35.4001795,142.4377601,1404482781000,1404482781000,995,S,SOUTH BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15505,1534,HFLOW_2,846,1,SUNRAYSIA HIGHWAY E Bd btwn HOPETOUN-WOOMELANG ROAD AND BROOK STREET || Original ID_HOMOGENEOUS_FLOW:1997,-35.6808803,142.6624126,1404482789000,1404482789000,1534,E,EAST BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15506,814,HFLOW_2,846,1,SUNRAYSIA HIGHWAY SEBd btwn MOONAMBEL ROAD AND HIGH STREET || Original ID_HOMOGENEOUS_FLOW:2019,-37.0348975,143.435382,1404482806000,1404482806000,814,SE,SOUTH EAST BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15507,1187,HFLOW_2,846,1,SUNRAYSIA HIGHWAY S BD BTWN GEORGE STREET AND BLAIR STREET || Original ID_HOMOGENEOUS_FLOW:2005,-36.1532865,142.8582469,1404482796000,1404482796000,1187,S,SOUTH BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15508,1544,HFLOW_2,846,1,SUNRAYSIA HIGHWAY SEBd btwn SKENE STREET AND WESTERN HIGHWAY Onramp || Original ID_HOMOGENEOUS_FLOW:2027,-37.3716748,143.6660723,1404482816000,1404482816000,1544,SE,SOUTH EAST BOUND,2700,SUNRAYSIA HIGHWAY ,1,REVERSE
15509,1545,HFLOW_2,14,0,GOROKE STREET E Bd btwn POWLETT STREET AND INVERLOCH-KONGWAK ROAD || Original ID_HOMOGENEOUS_FLOW:2046,-38.6270447,145.721611,1404482823000,1404482823000,1545,E,EAST BOUND,2710,BASS HIGHWAY ,0,FORWARD
15510,821,HFLOW_2,431,0,WHITEHORSE RD E BD BTWN SPRINGVALE RD AND ROOKS RD || Original ID_HOMOGENEOUS_FLOW:2077,-37.8181876,145.1807133,1404482832000,1404482832000,821,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15511,822,HFLOW_2,431,0,WHITEHORSE RD NE BD BTWN RINGWOOD BYPASS AND DUBLIN RD || Original ID_HOMOGENEOUS_FLOW:2085,-37.8068604,145.2423683,1404482842000,1404482842000,822,NE,NORTH EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15512,1551,HFLOW_2,431,0,WHITEHORSE RD E BD BTWN KENT AVE AND YARRA RD || Original ID_HOMOGENEOUS_FLOW:2089,-37.7862652,145.276578,1404482850000,1404482850000,1551,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
15513,1553,HFLOW_2,431,0,MAROONDAH HWY E BD BTWN ANDERSON ST AND WARBURTON HWY || Original ID_HOMOGENEOUS_FLOW:2097,-37.7543544,145.3634243,1404482858000,1404482858000,1553,E,EAST BOUND,2720,MAROONDAH HIGHWAY ,0,FORWARD
