"FTYPE","long","lat"
"OSM_shopping",144.73229,-37.27641
"OSM_shopping",145.24406,-37.86891
"OSM_shopping",145.16478,-37.88124
"OSM_shopping",145.21826,-37.23795
"OSM_shopping",145.14428,-37.89129
"OSM_shopping",144.96255,-37.81241
"OSM_shopping",144.9436,-37.76462
"OSM_shopping",144.97131,-37.77302
"OSM_shopping",144.95675,-37.79454
"OSM_shopping",144.98436,-37.78325
"OSM_shopping",144.97298,-37.78454
"OSM_shopping",144.99195,-37.78855
"OSM_shopping",144.98824,-37.79949
"OSM_shopping",145.12275,-37.91121
"OSM_shopping",145.23229,-37.84781
"OSM_shopping",145.29529,-37.88361
"OSM_shopping",145.35209,-37.90954
"OSM_shopping",145.31018,-37.76036
"OSM_shopping",145.27478,-37.88421
"OSM_shopping",144.34312,-38.11121
"OSM_shopping",144.83113,-37.78264
"OSM_shopping",144.52447,-38.26774
"OSM_shopping",145.23303,-37.84737
"OSM_shopping",144.96683,-37.80266
"OSM_shopping",145.29529,-37.88354
"OSM_shopping",144.9392,-37.72777
"OSM_shopping",144.9498,-37.80338
"OSM_shopping",144.68173,-37.87507
"OSM_shopping",144.96371,-37.80861
"OSM_shopping",144.9634,-37.81007
"OSM_shopping",144.96665,-37.74188
"OSM_shopping",144.95928,-37.7335
"OSM_shopping",144.99599,-37.84295
"OSM_shopping",144.18915,-38.40451
"OSM_shopping",144.96723,-37.80046
"OSM_shopping",144.96801,-37.79781
"OSM_shopping",144.98371,-37.80316
"OSM_shopping",144.97828,-37.85955
"OSM_shopping",144.92263,-37.71766
"OSM_shopping",144.97511,-37.83658
"OSM_shopping",144.97487,-37.83611
"OSM_shopping",144.97109,-37.83205
"OSM_shopping",145.2503,-37.89441
"OSM_shopping",145.12095,-37.71621
"OSM_shopping",144.96668,-37.74168
"OSM_shopping",145.11226,-37.72754
"OSM_shopping",145.23893,-38.44786
"OSM_shopping",144.88881,-37.81636
"OSM_shopping",145.1512,-37.85325
"OSM_shopping",145.16433,-37.87857
"OSM_shopping",145.16422,-37.87932
"OSM_shopping",145.16426,-37.87903
"OSM_shopping",145.16517,-37.87592
"OSM_shopping",144.94956,-37.77236
"OSM_shopping",144.58206,-37.68311
"OSM_shopping",145.3093,-37.80251
"OSM_shopping",144.96156,-37.76866
"OSM_shopping",144.96121,-37.77346
"OSM_shopping",144.96958,-37.79719
"OSM_shopping",144.97026,-37.79764
"OSM_shopping",144.97757,-37.7981
"OSM_shopping",145.19075,-38.30758
"OSM_shopping",145.34896,-37.75982
"OSM_shopping",144.98966,-37.83883
"OSM_shopping",144.99128,-37.83876
"OSM_shopping",145.48215,-38.07825
"OSM_shopping",145.12845,-37.87586
"OSM_shopping",145.12754,-37.87599
"OSM_shopping",145.12744,-37.87677
"OSM_shopping",145.12922,-37.87704
"OSM_shopping",145.48299,-38.07859
"OSM_shopping",145.12304,-38.14329
"OSM_shopping",145.12548,-38.13989
"OSM_shopping",145.05462,-37.95962
"OSM_shopping",145.05618,-37.9594
"OSM_shopping",145.05101,-37.95854
"OSM_shopping",145.16706,-38.15091
"OSM_shopping",145.11674,-37.99997
"OSM_shopping",145.06424,-37.98158
"OSM_shopping",145.06401,-37.98128
"OSM_shopping",145.06473,-37.98332
"OSM_shopping",145.44058,-37.93234
"OSM_shopping",145.44107,-37.93244
"OSM_shopping",145.44094,-37.93274
"OSM_shopping",144.97064,-37.80351
"OSM_shopping",144.97737,-37.8059
"OSM_shopping",145.00524,-37.89799
"OSM_shopping",144.9612,-37.83388
"OSM_shopping",144.96108,-37.83459
"OSM_shopping",144.96098,-37.83307
"OSM_shopping",144.77517,-37.69879
"OSM_shopping",144.98295,-37.79775
"OSM_shopping",145.08791,-38.00787
"OSM_shopping",145.08758,-38.00751
"OSM_shopping",145.05545,-37.83062
"OSM_shopping",145.48274,-38.07835
"OSM_shopping",145.10404,-37.94082
"OSM_shopping",145.82406,-38.43196
"OSM_shopping",145.82432,-38.43221
"OSM_shopping",144.99332,-37.80964
"OSM_shopping",145.12333,-38.14335
"OSM_shopping",145.12321,-38.14332
"OSM_shopping",144.98596,-37.81631
"OSM_shopping",145.18496,-37.83661
"OSM_shopping",144.98346,-37.80268
"OSM_shopping",144.97553,-37.80782
"OSM_shopping",144.99552,-37.82529
